,state,sat_participation_2019,sat_total_2019
0,Alabama,0.07,1143
1,Alaska,0.41,1097
2,Arizona,0.31,1134
3,Arkansas,0.06,1141
4,California,0.63,1065
5,Colorado,1.0,1024
6,Connecticut,1.0,1046
7,Delaware,1.0,985
8,District of Columbia,0.94,975
9,Florida,1.0,999
10,Georgia,0.71,1058
11,Hawaii,0.54,1100
12,Idaho,1.0,993
13,Illinois,1.0,1013
14,Indiana,0.66,1080
15,Iowa,0.03,1244
16,Kansas,0.04,1241
17,Kentucky,0.04,1232
18,Louisiana,0.05,1200
19,Maine,0.99,1013
20,Maryland,0.82,1058
21,Massachusetts,0.81,1120
22,Michigan,1.0,1003
23,Minnesota,0.04,1284
24,Mississippi,0.03,1237
25,Missouri,0.04,1236
26,Montana,0.09,1199
27,Nebraska,0.03,1260
28,Nevada,0.2,1156
29,New Hampshire,0.95,1059
30,New Jersey,0.82,1090
31,New Mexico,0.18,1073
32,New York,0.79,1064
33,North Carolina,0.51,1100
34,North Dakota,0.02,1263
35,Ohio,0.19,1097
36,Oklahoma,0.22,963
37,Oregon,0.51,1112
38,Pennsylvania,0.7,1082
40,Rhode Island,1.0,995
41,South Carolina,0.68,1030
42,South Dakota,0.03,1268
43,Tennessee,0.07,1220
44,Texas,0.68,1022
45,Utah,0.04,1230
46,Vermont,0.66,1106
48,Virginia,0.68,1119
49,Washington,0.7,1074
50,West Virginia,0.99,943
51,Wisconsin,0.03,1283
52,Wyoming,0.03,1238
